Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Charles & Colvard,647672,https://www.charlesandcolvard.com/marquise-rose-cut-moissanite-gemstone-101215-zz-zzz-zz-mq-m-0033,83.3,Marquise,0.33,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647671,https://www.charlesandcolvard.com/marquise-rose-cut-moissanite-gemstone-101215-zz-zzz-zz-mq-m-0058,183.4,Marquise,0.58,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647673,https://www.charlesandcolvard.com/marquise-rose-cut-moissanite-gemstone-101215-zz-zzz-zz-mq-m-0058,149.1,Marquise,0.58,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647691,https://www.charlesandcolvard.com/cushion-rose-cut-moissanite-gemstone-101216-zz-zzz-zz-cu-m-0057,172.9,Cushion,0.57,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647694,https://www.charlesandcolvard.com/cushion-rose-cut-moissanite-gemstone-101216-zz-zzz-zz-cu-m-0057,156.8,Cushion,0.57,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647692,https://www.charlesandcolvard.com/cushion-rose-cut-moissanite-gemstone-101216-zz-zzz-zz-cu-m-0130,453.6,Cushion,1.3,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647695,https://www.charlesandcolvard.com/cushion-rose-cut-moissanite-gemstone-101216-zz-zzz-zz-cu-m-0130,412.3,Cushion,1.3,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647693,https://www.charlesandcolvard.com/cushion-rose-cut-moissanite-gemstone-101216-zz-zzz-zz-cu-m-0190,669.9,Cushion,1.9,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647696,https://www.charlesandcolvard.com/cushion-rose-cut-moissanite-gemstone-101216-zz-zzz-zz-cu-m-0190,611.1,Cushion,1.9,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647718,https://www.charlesandcolvard.com/rectangular-cushion-rose-cut-moissanite-gemstone-101217-zz-zzz-zz-rc-m-0054,181.3,elongated cushion,0.54,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647721,https://www.charlesandcolvard.com/rectangular-cushion-rose-cut-moissanite-gemstone-101217-zz-zzz-zz-rc-m-0054,150.5,elongated cushion,0.54,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647719,https://www.charlesandcolvard.com/rectangular-cushion-rose-cut-moissanite-gemstone-101217-zz-zzz-zz-rc-m-0089,352.1,elongated cushion,0.89,DEF,Rose Cut,,,Lab Grown
Charles & Colvard,647722,https://www.charlesandcolvard.com/rectangular-cushion-rose-cut-moissanite-gemstone-101217-zz-zzz-zz-rc-m-0089,289.8,elongated cushion,0.89,GH,Rose Cut,,,Lab Grown
Charles & Colvard,647720,https://www.charlesandcolvard.com/rectangular-cushion-rose-cut-moissanite-gemstone-101217-zz-zzz-zz-rc-m-0130,483.7,elongated cushion,1.3,DEF,Rose Cut,,,Lab Grown
