Vendor,Vendor SKU,Link,Price,Shape,Carat Weight,Color Grade,Cut Grade,Clarity Grade,Grading Lab,Origin
Brilliant Earth,17642346A,https://www.brilliantearth.com/1.51-Ct.-Fancy-Vivid-Yellow-Heart-Lab-Grown-Diamond-17642346A/,2290,Heart,1.51,yellow,,VVS1,,Lab Grown
Brilliant Earth,15331953A,https://www.brilliantearth.com/3.01-Ct.-Fancy-Vivid-Yellow-Pear-Lab-Grown-Diamond-15331953A/,5580,Pear,3.01,yellow,,VS1,,Lab Grown
Brilliant Earth,15183861A,https://www.brilliantearth.com/1.70-Ct.-Fancy-Vivid-Blue-Round-Lab-Grown-Diamond-15183861A/,1960,Round,1.7,blue,,VS2,,Lab Grown
Brilliant Earth,14693416A,https://www.brilliantearth.com/1.75-Ct.-Fancy-Vivid-Green-Radiant-Lab-Grown-Diamond-14693416A/,3350,Radiant,1.75,green,,VS1,,Lab Grown
Brilliant Earth,14693301A,https://www.brilliantearth.com/3.04-Ct.-Fancy-Vivid-Green-Heart-Lab-Grown-Diamond-14693301A/,6880,Heart,3.04,green,,VS1,,Lab Grown
Brilliant Earth,16651294A,https://www.brilliantearth.com/3.02-Ct.-Fancy-Yellow-Cushion-Diamond-16651294A/,22710,Cushion,3.02,yellow,,SI1,,Lab Grown
Brilliant Earth,15855943A,https://www.brilliantearth.com/4.36-Ct.-Fancy-Vivid-Pink-Oval-Lab-Grown-Diamond-15855943A/,11330,Oval,4.36,pink,,VVS2,,Lab Grown
Brilliant Earth,17375041A,https://www.brilliantearth.com/1.02-Ct.-Fancy-Intense-Blue-Round-Lab-Grown-Diamond-17375041A/,1160,Round,1.02,blue,,VVS2,,Lab Grown
Brilliant Earth,14691566A,https://www.brilliantearth.com/3.35-Ct.-Fancy-Intense-Yellow-Cushion-Lab-Grown-Diamond-14691566A/,6210,Cushion,3.35,yellow,,VS1,,Lab Grown
Brilliant Earth,17940641A,https://www.brilliantearth.com/5.03-Ct.-Fancy-Vivid-Blue-Marquise-Lab-Grown-Diamond-17940641A/,7990,Marquise,5.03,blue,,VS1,,Lab Grown
Brilliant Earth,14102486Y,https://www.brilliantearth.com/1.50-Ct.-Fancy-Yellow-Cushion-Diamond-14102486Y/,6600,Cushion,1.5,yellow,,VVS1,,Lab Grown
Brilliant Earth,17835035A,https://www.brilliantearth.com/1.38-Ct.-Fancy-Intense-Yellow-Pear-Lab-Grown-Diamond-17835035A/,2020,Pear,1.38,yellow,,VVS2,,Lab Grown
Brilliant Earth,14692421A,https://www.brilliantearth.com/1.43-Ct.-Fancy-Intense-Yellow-Oval-Lab-Grown-Diamond-14692421A/,1860,Oval,1.43,yellow,,VS1,,Lab Grown
Brilliant Earth,18467304A,https://www.brilliantearth.com/1.52-Ct.-Fancy-Vivid-Blue-Round-Lab-Grown-Diamond-18467304A/,1750,Round,1.52,blue,,VS1,,Lab Grown
Brilliant Earth,17942368A,https://www.brilliantearth.com/2.04-Ct.-Fancy-Vivid-Blue-Emerald-Lab-Grown-Diamond-17942368A/,2450,Emerald,2.04,blue,,VS1,,Lab Grown
Brilliant Earth,17944231A,https://www.brilliantearth.com/3.17-Ct.-Fancy-Vivid-Blue-Cushion-Lab-Grown-Diamond-17944231A/,4350,Cushion,3.17,blue,,VS2,,Lab Grown
Brilliant Earth,15597066A,https://www.brilliantearth.com/1.76-Ct.-Fancy-Vivid-Blue-Oval-Lab-Grown-Diamond-15597066A/,2000,Oval,1.76,blue,,VS1,,Lab Grown
Brilliant Earth,16525866A,https://www.brilliantearth.com/0.80-Ct.-Fancy-Intense-Greenish-Blue-Round-Lab-Grown-Diamond-16525866A/,770,Round,0.8,blue,,VVS2,,Lab Grown
Brilliant Earth,17943434A,https://www.brilliantearth.com/0.31-Ct.-Fancy-Vivid-Pink-Pear-Lab-Grown-Diamond-17943434A/,380,Pear,0.31,pink,,SI2,,Lab Grown
Brilliant Earth,13410138A,https://www.brilliantearth.com/2.50-Ct.-Fancy-Vivid-Yellow-Cushion-Lab-Grown-Diamond-13410138A/,4210,Cushion,2.5,yellow,,VS1,,Lab Grown
Brilliant Earth,17944200A,https://www.brilliantearth.com/3.06-Ct.-Fancy-Intense-Pink-Emerald-Lab-Grown-Diamond-17944200A/,6940,Emerald,3.06,pink,,VS1,,Lab Grown
Brilliant Earth,17940837A,https://www.brilliantearth.com/2.05-Ct.-Fancy-Intense-Pink-Round-Lab-Grown-Diamond-17940837A/,3550,Round,2.05,pink,,VS2,,Lab Grown
Brilliant Earth,17942302A,https://www.brilliantearth.com/1.53-Ct.-Fancy-Vivid-Blue-Pear-Lab-Grown-Diamond-17942302A/,1700,Pear,1.53,blue,,VS1,,Lab Grown
Brilliant Earth,14691884A,https://www.brilliantearth.com/2.56-Ct.-Fancy-Intense-Yellow-Radiant-Lab-Grown-Diamond-14691884A/,4070,Radiant,2.56,yellow,,VS1,,Lab Grown
Brilliant Earth,17939569A,https://www.brilliantearth.com/2.48-Ct.-Fancy-Intense-Pink-Round-Lab-Grown-Diamond-17939569A/,4460,Round,2.48,pink,,VS1,,Lab Grown
